,molecule_chembl_id,mol,Class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
262,CHEMBL209372,CC[C@H](NC[C@H](Cc1ccccc1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccc(F)cc2)cc(N(C)S(C)(=O)=O)c1)C(=O)NCC(C)C,active,667.848,4.194,4,6,7.698970004
263,CHEMBL379513,CC(C)CNC(=O)[C@H](C)NC[C@H](Cc1ccccc1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccc(F)cc2)cc(N(C)S(C)(=O)=O)c1,active,653.821,3.8039,4,6,7.657577319
265,CHEMBL210022,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC/C=C/CC[C@H]2CCCN[C@H]2C(=O)N[C@@H](C)C(=O)N1,inactive,496.718,1.7307,5,6,5
266,CHEMBL437496,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC/C=C/CC[C@@H]2CCCN[C@@H]2C(=O)N[C@@H](C)C(=O)N1,inactive,496.718,1.7307,5,6,5
267,CHEMBL439148,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC/C=C/CC[C@H]2CNCC[C@H]2C(=O)N[C@@H](C)C(=O)N1,inactive,496.718,1.5882,5,6,5
268,CHEMBL211193,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC/C=C/CC[C@@H]2CNCC[C@@H]2C(=O)N[C@@H](C)C(=O)N1,inactive,496.718,1.5882,5,6,5
269,CHEMBL210240,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC/C=C/CS[C@H]2CCCN[C@H]2C(=O)N[C@@H](C)C(=O)N1,active,514.758,1.4361,5,7,6.721246399
270,CHEMBL211194,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC/C=C/CS[C@@H]2CCCN[C@@H]2C(=O)N[C@@H](C)C(=O)N1,inactive,514.758,1.4361,5,7,4.920818754
271,CHEMBL213300,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC/C=C/CS[C@H]2CNCC[C@H]2C(=O)N[C@@H](C)C(=O)N1,inactive,514.758,1.2936,5,7,5
272,CHEMBL210176,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC/C=C/CS[C@@H]2CNCC[C@@H]2C(=O)N[C@@H](C)C(=O)N1,inactive,514.758,1.2936,5,7,5
273,CHEMBL377149,CCCCNC(=O)[C@@H](NC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC/C=C/CSC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N1)C(C)C,active,673.943,2.3496,6,9,6.806875402
276,CHEMBL425424,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSCc2ccc(cc2)CSC[C@H](NC(C)=O)C(=O)N[C@@H](C)C(=O)N1,inactive,566.79,1.9642,5,7,5
277,CHEMBL377548,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1COC/C=C/CSC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@@H](C)C(=O)N1,active,558.742,1.4922,5,8,6.292429824
